﻿-- format
-- [kata kunci] | [isWajib] | [kataWajib] | [nilai] | [skenario tujuan] | [todo] | [Saran Kata]

-- simple text --
andri|1|assalamualaikum|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
andri|1|pagi|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
andri|1|siang|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
andri|1|sore|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
sebaiknya|1|assalamualaikum|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
sebaiknya|1|pagi|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
sebaiknya|1|siang|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
sebaiknya|1|sore|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
enaknya|1|assalamualaikum|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
enaknya|1|pagi|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
enaknya|1|siang|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
enaknya|1|sore|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
memanggil|1|assalamualaikum|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
memanggil|1|pagi|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
memanggil|1|siang|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
memanggil|1|sore|10|TestScene2|todo1|"Assalamualaikum/Selamat pagi Bpk/Ibu/ Sdr …perkenalkan nama saya Andri yang akan membantu melayani Bpk/Ibu/Sdr.Untuk memudahkan komunikasi sebaiknya/enaknya saya memanggil Bpk/Ibu/Sdr … "
keluhan|0|null|10|TestScene3|todo2|aw
gangguan|0|null|10|TestScene3|todo2|aw
error|0|null|10|TestScene3|todo2|aw
meminta|1|nomor|10|TestScene4|todo3|aw
memberitahu|1|nomor|10|TestScene4|todo3|aw
nomor|1|nomor|10|TestScene4|todo3|aw
